,0
0,1
1,1
2,1
3,0
4,1
5,1
6,0
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,1
16,1
17,0
18,1
19,0
20,1
21,1
22,0
23,0
24,1
25,1
26,0
27,0
28,0
29,0
30,0
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,1
49,1
50,1
51,0
52,0
53,0
54,1
55,0
56,0
57,1
58,1
59,1
60,0
61,0
62,1
63,0
64,0
65,1
66,1
67,0
68,0
69,0
70,1
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,1
80,0
81,1
82,0
83,1
84,0
85,1
86,0
87,1
88,1
89,0
90,1
91,1
92,1
93,0
94,1
95,0
96,0
97,1
98,1
99,1
100,0
101,1
102,0
103,0
104,1
105,0
106,1
107,0
108,0
109,0
110,0
111,0
112,1
113,1
114,0
115,1
116,0
117,1
118,1
119,0
120,0
121,1
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,0
133,1
134,1
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,1
148,1
149,0
150,0
151,0
152,1
153,0
154,0
155,1
156,0
157,1
158,0
159,1
160,1
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,0
181,1
182,1
183,1
184,0
185,1
186,1
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,0
198,1
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
